"","EVT","PPVT","Age","nonsense","real"
"1",43,86,31,1.88096512692628,1.90302233134175
"2",39,51,32,1.89435471503121,1.85624374241757
"3",59,70,42,1.82700429068553,1.87193227796215
"4",51,55,37,1.86808836921837,1.88141264803333
"5",55,94,46,1.85441076764925,1.84986991949187
"6",48,76,46,1.87139653676482,1.87835560454575
"7",58,118,46,1.86872462978575,1.89273406832595
"8",84,108,47,1.86380997458628,1.84246349034072
"9",61,87,44,1.87652862790116,1.87550787699532
"10",39,59,39,1.88956172081486,1.87572244012856
"11",51,64,40,1.86074951826067,1.85517315892889
"12",61,73,43,1.86973730409935,1.86331922035535
"13",50,65,36,1.84475484899307,1.86878340115431
"14",51,90,32,1.86131489208101,1.91522393423273
"15",27,45,41,1.85676459023435,1.85227847726516
"16",65,63,38,1.84875082727898,1.83321410143582
"17",59,59,38,1.86445009797389,1.83984985519056
"18",52,61,40,1.86644836470153,1.83552288627195
"19",43,56,37,1.86337972838503,1.92818772551011
"20",47,58,43,1.84806346400913,1.85074377015102
"21",71,92,37,1.8438063288941,1.87744204656004
"22",77,105,44,1.85771730937611,1.89028567847988
"23",90,107,47,1.86008456593252,1.86915287659714
"24",70,94,48,1.86344086578158,1.83338943497817
"25",64,90,39,1.90562033450584,1.85406903657908
